Size,Month,Date,Time,File
187473920,Sep,30,14:58,/home/vasvi/.mozilla/firefox/eobr2ha7.default-release/storage/default/https+++coep.webex.com/idb/4069370472tthnieniCl.sqlite
20996090,Sep,27,15:56,/home/vasvi/Sem5/CN/Kurose,
17155555,Sep,30,14:49,/home/vasvi/.cache/mozilla/firefox/eobr2ha7.default-release/cache2/entries/B824F123EDFDA9902E998C48A7E719635005011E
13901824,Sep,30,14:33,/home/vasvi/.mozilla/firefox/eobr2ha7.default-release/storage/permanent/chrome/idb/3870112724rsegmnoittet-es.sqlite
13556537,Sep,21,12:14,/home/vasvi/.config/Microsoft/Microsoft
11925603,Sep,22,23:29,/home/vasvi/Sem5/CN/Chapter_2_v8.0.pptx
11484719,Sep,30,14:41,/home/vasvi/.config/google-chrome/Safe
11404096,Sep,21,12:14,/home/vasvi/.config/Microsoft/Microsoft
9304340,Sep,25,21:12,/home/vasvi/.mozilla/firefox/eobr2ha7.default-release/gmp-widevinecdm/4.10.1582.2/libwidevinecdm.so
8396800,Sep,21,12:14,/home/vasvi/.config/Microsoft/Microsoft
